County,FIPS,Average Annual Count,State
Todd County,46121.0,29.0,South Dakota
Jefferson County,39081.0,501.0,Ohio
Johnson County,21115.0,161.0,Kentucky
Jackson County,39079.0,215.0,Ohio
Tunica County,28143.0,53.0,Mississippi
Washington County,21229.0,83.0,Kentucky
Cerro Gordo County,19033.0,335.0,Iowa
Olmsted County,27109.0,965.0,Minnesota
Pasco County,12101.0,4219.0,Florida
Arkansas County,5001.0,126.0,Arkansas
Wayne County,36117.0,663.0,New York
Marshall County,27089.0,70.0,Minnesota
Bath County,51017.0,39.0,Virginia
Carter County,29035.0,39.0,Missouri
Chautauqua County,36013.0,939.0,New York
Jersey County,17083.0,155.0,Illinois
Towns County,13281.0,130.0,Georgia
Suffolk County,36103.0,10153.0,New York
Greene County,19073.0,71.0,Iowa
McHenry County,38049.0,41.0,North Dakota
Yates County,36123.0,186.0,New York
Emmet County,19063.0,74.0,Iowa
Isanti County,27059.0,260.0,Minnesota
Camden County,34007.0,3256.0,New Jersey
Tyrrell County,37177.0,27.0,North Carolina
Claiborne Parish,22027.0,105.0,Louisiana
Butler County,19023.0,113.0,Iowa
Jackson County,17077.0,309.0,Illinois
Searcy County,5129.0,66.0,Arkansas
Volusia County,12127.0,4580.0,Florida
Woodford County,21239.0,189.0,Kentucky
Benton County,19011.0,179.0,Iowa
Jackson County,19097.0,146.0,Iowa
Fisher County,48151.0,27.0,Texas
McCurtain County,40089.0,203.0,Oklahoma
Barbour County,54001.0,109.0,West Virginia
Baldwin County,13009.0,270.0,Georgia
Bureau County,17011.0,254.0,Illinois
Cherokee County,13057.0,1538.0,Georgia
Ford County,17053.0,95.0,Illinois
Fayette County,54019.0,306.0,West Virginia
Clay County,12019.0,1369.0,Florida
Beltrami County,27007.0,274.0,Minnesota
Lee County,28081.0,498.0,Mississippi
Jefferson County,21111.0,4896.0,Kentucky
Sampson County,37163.0,392.0,North Carolina
Buchanan County,19019.0,138.0,Iowa
Brunswick County,51025.0,124.0,Virginia
Dickinson County,19059.0,154.0,Iowa
Crawford County,13079.0,90.0,Georgia
Marion County,47115.0,208.0,Tennessee
Liberty County,30051.0,15.0,Montana
Campbell County,21037.0,591.0,Kentucky
Nowata County,40105.0,69.0,Oklahoma
Walton County,13297.0,594.0,Georgia
Page County,19145.0,122.0,Iowa
Southeast Fairbanks Census Area,2240.0,38.0,Alaska
Ringgold County,19159.0,40.0,Iowa
Sterling County,48431.0,7.0,Texas
Boone County,19015.0,187.0,Iowa
Big Stone County,27011.0,43.0,Minnesota
Nance County,31125.0,24.0,Nebraska
Smith County,28129.0,102.0,Mississippi
Pocahontas County,19151.0,58.0,Iowa
Cleveland County,37045.0,681.0,North Carolina
Powell County,30077.0,53.0,Montana
Esmeralda County,32009.0,7.0,Nevada
Jackson County,21109.0,89.0,Kentucky
Chemung County,36015.0,593.0,New York
Carroll County,21041.0,68.0,Kentucky
Richland Parish,22083.0,132.0,Louisiana
Wakulla County,12129.0,210.0,Florida
